Category: ALL
Cores: 10
Subjects: 212
Training set size: 211
Testing set size: 1
Lambda coefficient: 0.0
Matrix: I
Binary matrix: yes
Iterations per patient: 3000000
Folds: 212
Elapsed time for training (s): 5681.66
Total time (s): 5869.31
+------+---------------+-------------+------------------+-----------------+
|  CG  | Avg MSE test  | SD MSE test | Avg Pearson test | SD Pearson test |
+------+---------------+-------------+------------------+-----------------+
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-LMCI4061/ |     0.0011    |       0.9573      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-LMCI4094/ |     0.0007    |       0.9558      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-LMCI4114/ |     0.0008    |       0.9335      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-LMCI4115/ |     0.0005    |       0.9108      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-LMCI4162/ |     0.0009    |       0.9446      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-LMCI4187/ |     0.0009    |       0.9547      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-LMCI4197/ |     0.0005    |       0.9793      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-LMCI4210/ |     0.0181    |       0.1621      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-LMCI4214/ |     0.0037    |       0.8106      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-LMCI4229/ |     0.0005    |       0.9779      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-LMCI4240/ |     0.0559    |      -0.0311      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-LMCI4287/ |     0.0006    |       0.9725      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-LMCI4354/ |     0.0005    |       0.9583      |
